id,name,description,category,subcategory,region,delay,universe,dateCoverage,coverage,valueScore,userCount,alphaCount,fieldCount,themes,researchPapers
analyst4,Analyst Estimate Data for Equity,"This dataset provides intraday updates of consensus financial estimates, actuals, and company guidance for over 16,000 global companies, sourced from more than 800 contributing brokers. It includes multiple daily delta files per region, allowing users to track real-time changes in analyst expectations for key financial metrics such as EPS, sales, dividends, cash flow, and industry-specific items. The dataset also offers daily historical consensus timelines, enabling analysis of estimate revisions, surprises, and trends. By capturing the latest market sentiment and analyst forecasts, this data is highly valuable for predicting price movements, identifying earnings momentum, and responding to market-moving events as they unfold.","{'id': 'analyst', 'name': 'Analyst'}","{'id': 'analyst-analyst-estimates', 'name': 'Analyst Estimates'}",USA,1,TOP3000,1.0,0.7222,1.0,22625,460941,653,[],[]
fundamental2,Report Footnotes,This dataset holds fundamental items included in the supplements of any related financial statements.,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-footnotes', 'name': 'Footnotes'}",USA,1,TOP3000,,0.4089,1.0,23910,99446,318,[],[]
fundamental6,Company Fundamental Data for Equity,Fundamental database covers most of the world's big companies. The database also includes industry specific data and updates on quarterly basis. The data is summarized for quarterly/semiannual/yearly periods.,"{'id': 'fundamental', 'name': 'Fundamental'}","{'id': 'fundamental-fundamental-data', 'name': 'Fundamental Data'}",USA,1,TOP3000,1.0,0.5,1.0,54189,583794,886,[],[]
model16,Fundamental Scores,"This dataset provides a comprehensive mapping between Bloomberg IDs (BBID) and Reuters Instrument Codes (RIC), facilitating cross-referencing of securities across two major financial data platforms. By enabling seamless integration of data from Bloomberg and Refinitiv, it helps analysts and portfolio managers ensure accurate security identification, streamline data aggregation, and reduce errors in multi-source research workflows. While not directly predictive of price movements, this mapping is essential for robust data management, enabling more reliable analysis and backtesting when combining datasets that use different security identifiers.","{'id': 'model', 'name': 'Model'}","{'id': 'model-valuation-models', 'name': 'Valuation Models'}",USA,1,TOP3000,1.0,0.5582,1.0,1349,3192,24,[],[]
model51,Systematic Risk Metrics,"This is a risk-model data offering several metrics that can be used to quantify & identify risk. It provides technical information like beta, correlation and unsystematic risk all relative to SPY and systematic risk (also known as idiosyncratic risk) - each for different time periods. ","{'id': 'model', 'name': 'Model'}","{'id': 'model-risk-models', 'name': 'Risk Models'}",USA,1,TOP3000,1.0,0.7724,1.0,4759,21489,16,[],[]
news12,US News Data,This dataset specializes in matching financial news with market data. They have analyzed 10s of millions of news events and know exactly which ones have an outsized impact on stock prices. So every single time a news item is released they know exactly what the average effect will be on a particular stock. ,"{'id': 'news', 'name': 'News'}","{'id': 'news-news', 'name': 'News'}",USA,1,TOP3000,1.0,0.8034,1.0,18611,111915,322,[],[]
news18,Ravenpack News Data,"This dataset provides news sentiment and other financial indicators. It has a number of different indicators derived from news events relating to different categories & specific companies. Each news event is classified to reflect its sentiment, uniqueness, relevance to underlying company and few other parameters.","{'id': 'news', 'name': 'News'}","{'id': 'news-news-sentiment', 'name': 'News Sentiment'}",USA,1,TOP3000,1.0,0.5,1.0,4285,37271,75,[],[]
option8,Volatility Data,"This is an option dataset which provides historical & option implied volatilities for US equity market. Volatility is available for different time periods using various models. It also includes skew steepness indicators & volatilities for puts, calls and means.","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-volatility', 'name': 'Option Volatility'}",USA,1,TOP3000,1.0,0.6948,1.0,17516,90991,64,[],[]
option9,Options Analytics,"This dataset provide options metrics indicating sentiment, and pricing behavior of the market for the underlying stocks.  Specifically, this dataset provides 3 metrics: put/call ratios, forward prices, and options breakevens at different horizons.  All numbers denote options expiration x days in the future.","{'id': 'option', 'name': 'Option'}","{'id': 'option-option-analytics', 'name': 'Option Analytics'}",USA,1,TOP3000,1.0,0.7039,1.0,11083,41961,74,[],[]
pv1,Price Volume Data for Equity,"The dataset contains financial data related to equities, including metrics such as prices (open, high, low, close), trading volumes, market capitalization, returns, dividends, splits, and other key indicators that provide insights into stock performance and market activity.","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,1.0,1.0,1.0,54580,1386402,23,[],[]
pv13,Relationship Data for Equity,"This dataset provides a mapping between Bloomberg IDs (BBID) and Refinitiv Instrument Codes (RIC), enabling users to link securities across Bloomberg and Refinitiv platforms. The data is sourced from both Bloomberg and Refinitiv, and maintained for integration and operational purposes rather than general research. While not directly predictive of price movements, this mapping is essential for harmonizing datasets, ensuring accurate cross-platform security identification, and supporting multi-source data analysis in quantitative research and portfolio management workflows.","{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-relationship', 'name': 'Relationship'}",USA,1,TOP3000,1.0,0.8034,1.0,10955,114523,165,[],[]
socialmedia12,Sentiment Data for Equity,"This dataset aggregates and analyzes social media posts and news articles related to financial markets, covering thousands of sources and several years of historical data. It quantifies market sentiment and buzz for individual assets, sectors, and indices using advanced natural language processing and machine learning techniques. The data includes sentiment scores, buzz indicators, and trading signals, which are statistically validated and can be used to identify shifts in market mood, anticipate volatility, and generate actionable buy/sell signals. By monitoring real-time and historical sentiment, traders and analysts can enhance their price movement predictions and improve portfolio performance through timely, data-driven decisions.","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,1.0,0.9855,1.0,15791,38558,18,[],[]
socialmedia8,Social Media Data for Equity,"This is a sentiment dataset based on tweets or twitter messages. This dataset looks at data feed from twitter to quantify predictive social sentiment for different stocks. It also calculates the leading indicator of social sentiment for each security along with other key metrics. The methodology applied here smooths out signals for stocks with less activity on Twitter, thereby preventing spikes in scores & sentiments.","{'id': 'socialmedia', 'name': 'Social Media'}","{'id': 'socialmedia-social-media', 'name': 'Social Media'}",USA,1,TOP3000,1.0,0.8585,1.0,3172,8253,2,[],[]
univ1,Universe Dataset,No dataset description,"{'id': 'pv', 'name': 'Price Volume'}","{'id': 'pv-price-volume', 'name': 'Price Volume'}",USA,1,TOP3000,1.0,0.358,4.0,31,96,5,[],[]
